test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.acc,algorithm
2019,all,41408,1,1,16381,1,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962720065891075,0.969796814936848,cv_glmnet
2019,all,41408,1,1,25027,2,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964079069288583,0.970345963756178,cv_glmnet
2019,all,41408,1,1,41408,3,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96441882013796,0.971993410214168,cv_glmnet
2020,all,41408,1,1,16381,4,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969545752536057,0.973759884974838,cv_glmnet
2020,all,41408,1,1,25027,5,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970598129873716,0.97411933860532,cv_glmnet
2020,all,41408,1,1,41408,6,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971986922917672,0.97411933860532,cv_glmnet
2019,all,41408,2,1,16381,7,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96365180685679,0.975288303130148,cv_glmnet
2019,all,41408,2,1,25027,8,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96543292494595,0.974190005491488,cv_glmnet
2019,all,41408,2,1,41408,9,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96806342015855,0.974739154310818,cv_glmnet
2020,all,41408,2,1,16381,10,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968854899253571,0.975907946781733,cv_glmnet
2020,all,41408,2,1,25027,11,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969266945678907,0.977705861201007,cv_glmnet
2020,all,41408,2,1,41408,12,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971182637960047,0.978425026968716,cv_glmnet
2019,all,41408,3,1,16381,13,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.980258416555131,0.977484898407468,cv_glmnet
2019,all,41408,3,1,25027,14,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.98067538350664,0.976935749588138,cv_glmnet
2019,all,41408,3,1,41408,15,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.981499021929372,0.976386600768808,cv_glmnet
2020,all,41408,3,1,16381,16,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965334167493636,0.97339086659475,cv_glmnet
2020,all,41408,3,1,25027,17,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966309272123226,0.974110032362459,cv_glmnet
2020,all,41408,3,1,41408,18,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968196919359711,0.974469615246314,cv_glmnet
2019,all,41408,4,1,16381,19,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965221867600123,0.970895112575508,cv_glmnet
2019,all,41408,4,1,25027,20,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968948831462988,0.971444261394838,cv_glmnet
2019,all,41408,4,1,41408,21,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971069700401524,0.971444261394838,cv_glmnet
2020,all,41408,4,1,16381,22,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971022996936619,0.975548363897878,cv_glmnet
2020,all,41408,4,1,25027,23,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971942011476895,0.975907946781733,cv_glmnet
2020,all,41408,4,1,41408,24,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973003408551581,0.975548363897878,cv_glmnet
2019,all,41408,5,1,16381,25,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.9716050653763,0.976935749588138,cv_glmnet
2019,all,41408,5,1,25027,26,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971491815093174,0.976386600768808,cv_glmnet
2019,all,41408,5,1,41408,27,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973036137135798,0.974190005491488,cv_glmnet
2020,all,41408,5,1,16381,28,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966967252017086,0.976267529665588,cv_glmnet
2020,all,41408,5,1,25027,29,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966574621391897,0.975548363897878,cv_glmnet
2020,all,41408,5,1,41408,30,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968045907580792,0.975907946781733,cv_glmnet
2019,all,41408,6,1,16381,31,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965680016472768,0.971993410214168,cv_glmnet
2019,all,41408,6,1,25027,32,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966122722124987,0.974739154310818,cv_glmnet
2019,all,41408,6,1,41408,33,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96970040152373,0.974190005491488,cv_glmnet
2020,all,41408,6,1,16381,34,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976567286534064,0.974829198130169,cv_glmnet
2020,all,41408,6,1,25027,35,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977335289295421,0.974469615246314,cv_glmnet
2020,all,41408,6,1,41408,36,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977473357207576,0.975548363897878,cv_glmnet
2019,all,41408,7,1,16381,37,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971136292099465,0.974711379879054,cv_glmnet
2019,all,41408,7,1,25027,38,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.974178994858882,0.974161627267729,cv_glmnet
2019,all,41408,7,1,41408,39,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.974346868114573,0.975261132490379,cv_glmnet
2020,all,41408,7,1,16381,40,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96888941623161,0.977346278317152,cv_glmnet
2020,all,41408,7,1,25027,41,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970280881908789,0.976627112549443,cv_glmnet
2020,all,41408,7,1,41408,42,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.972981835440308,0.979863358504135,cv_glmnet
2019,all,41408,8,1,16381,43,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970380862448851,0.975261132490379,cv_glmnet
2019,all,41408,8,1,25027,44,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970685132724792,0.975810885101704,cv_glmnet
2019,all,41408,8,1,41408,45,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971356625747561,0.975261132490379,cv_glmnet
2020,all,41408,8,1,16381,46,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.950989850485648,0.975539568345324,cv_glmnet
2020,all,41408,8,1,25027,47,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.949950889446687,0.975179856115108,cv_glmnet
2020,all,41408,8,1,41408,48,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.952814580377606,0.976618705035971,cv_glmnet
2019,all,41408,9,1,16381,49,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.97092645052985,0.977460142935679,cv_glmnet
2019,all,41408,9,1,25027,50,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970758577274157,0.976360637713029,cv_glmnet
2019,all,41408,9,1,41408,51,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969614940719756,0.977460142935679,cv_glmnet
2020,all,41408,9,1,16381,52,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963854632762195,0.97589928057554,cv_glmnet
2020,all,41408,9,1,25027,53,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965653170359054,0.975539568345324,cv_glmnet
2020,all,41408,9,1,41408,54,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964282440248826,0.973741007194245,cv_glmnet
2019,all,41408,10,1,16381,55,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.975962648200609,0.974161627267729,cv_glmnet
2019,all,41408,10,1,25027,56,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.978333857937257,0.976910390324354,cv_glmnet
2019,all,41408,10,1,41408,57,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.979299129157486,0.978009895547004,cv_glmnet
2020,all,41408,10,1,16381,58,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.951775619338645,0.97410071942446,cv_glmnet
2020,all,41408,10,1,25027,59,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.951238677289096,0.974460431654676,cv_glmnet
2020,all,41408,10,1,41408,60,all,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.953312233984503,0.975539568345324,cv_glmnet
2019,other,25027,1,1,16381,61,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965726346134048,0.971993410214168,cv_glmnet
2019,other,25027,1,1,25027,62,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964027591887161,0.971444261394838,cv_glmnet
2020,other,16381,1,1,16381,63,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969239527982886,0.97196261682243,cv_glmnet
2019,other,25027,2,1,16381,64,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964799752908472,0.974739154310818,cv_glmnet
2019,other,25027,2,1,25027,65,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966513950375784,0.974739154310818,cv_glmnet
2020,other,16381,2,1,16381,66,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968813910342149,0.975548363897878,cv_glmnet
2019,other,25027,3,1,16381,67,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977442602697416,0.977484898407468,cv_glmnet
2019,other,25027,3,1,25027,68,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.979203129826006,0.978583196046129,cv_glmnet
2020,other,16381,3,1,16381,69,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964384950597576,0.97339086659475,cv_glmnet
2019,other,25027,4,1,16381,70,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966725007721611,0.971993410214168,cv_glmnet
2019,other,25027,4,1,25027,71,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970688767631011,0.971993410214168,cv_glmnet
2020,other,16381,4,1,16381,72,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971400526383916,0.975548363897878,cv_glmnet
2019,other,25027,5,1,16381,73,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.9734891382683,0.974190005491488,cv_glmnet
2019,other,25027,5,1,25027,74,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.9714094512509,0.976386600768808,cv_glmnet
2020,other,16381,5,1,16381,75,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964369849419683,0.975548363897878,cv_glmnet
2019,other,25027,6,1,16381,76,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967502316483065,0.974739154310818,cv_glmnet
2019,other,25027,6,1,25027,77,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965798414496035,0.973640856672158,cv_glmnet
2020,other,16381,6,1,16381,78,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.97591146395133,0.971592952175476,cv_glmnet
2019,other,25027,7,1,16381,79,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.972101563319694,0.974161627267729,cv_glmnet
2019,other,25027,7,1,25027,80,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973748819641171,0.974711379879054,cv_glmnet
2020,other,16381,7,1,16381,81,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968020019847263,0.977346278317152,cv_glmnet
2019,other,25027,8,1,16381,82,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969824782289371,0.975810885101704,cv_glmnet
2019,other,25027,8,1,25027,83,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971241212884273,0.977460142935679,cv_glmnet
2020,other,16381,8,1,16381,84,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.948065044199497,0.974820143884892,cv_glmnet
2019,other,25027,9,1,16381,85,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971062847550101,0.976360637713029,cv_glmnet
2019,other,25027,9,1,25027,86,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967936208162836,0.975810885101704,cv_glmnet
2020,other,16381,9,1,16381,87,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.959260067663429,0.971942446043166,cv_glmnet
2019,other,25027,10,1,16381,88,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.975584933375301,0.975261132490379,cv_glmnet
2019,other,25027,10,1,25027,89,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977085300598048,0.975810885101704,cv_glmnet
2020,other,16381,10,1,16381,90,other,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.949363745498198,0.973381294964029,cv_glmnet
2019,same,16381,1,1,16381,91,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963765057139916,0.969796814936848,cv_glmnet
2020,same,25027,1,1,16381,92,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969129545925057,0.975557153127247,cv_glmnet
2020,same,25027,1,1,25027,93,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969683769236078,0.975197699496765,cv_glmnet
2019,same,16381,2,1,16381,94,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962642849788943,0.973091707852828,cv_glmnet
2020,same,25027,2,1,16381,95,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966609138369936,0.976986695433297,cv_glmnet
2020,same,25027,2,1,25027,96,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969206540967339,0.978425026968716,cv_glmnet
2019,same,16381,3,1,16381,97,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.981509317409657,0.976386600768808,cv_glmnet
2020,same,25027,3,1,16381,98,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966026664365536,0.972671700827041,cv_glmnet
2020,same,25027,3,1,25027,99,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966203563877983,0.97339086659475,cv_glmnet
2019,same,16381,4,1,16381,100,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965695459693194,0.969247666117518,cv_glmnet
2020,same,25027,4,1,16381,101,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970988479958581,0.975188781014024,cv_glmnet
2020,same,25027,4,1,25027,102,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.97083746817966,0.975548363897878,cv_glmnet
2019,same,16381,5,1,16381,103,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971043961700814,0.977484898407468,cv_glmnet
2020,same,25027,5,1,16381,104,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968188290115201,0.974829198130169,cv_glmnet
2020,same,25027,5,1,25027,105,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96830478491608,0.977705861201007,cv_glmnet
2019,same,16381,6,1,16381,106,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966091835684134,0.973091707852828,cv_glmnet
2020,same,25027,6,1,16381,107,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976597488889847,0.974829198130169,cv_glmnet
2020,same,25027,6,1,25027,108,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977167019027484,0.976267529665588,cv_glmnet
2019,same,16381,7,1,16381,109,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.972500262301962,0.973611874656405,cv_glmnet
2020,same,25027,7,1,16381,110,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969094360788713,0.976267529665588,cv_glmnet
2020,same,25027,7,1,25027,111,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971614100185529,0.977705861201007,cv_glmnet
2019,same,16381,8,1,16381,112,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969179519462805,0.975261132490379,cv_glmnet
2020,same,25027,8,1,16381,113,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.950044745170796,0.97841726618705,cv_glmnet
2020,same,25027,8,1,25027,114,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.950339408490668,0.977338129496403,cv_glmnet
2019,same,16381,9,1,16381,115,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96700241317805,0.977460142935679,cv_glmnet
2020,same,25027,9,1,16381,116,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962062643239115,0.974460431654676,cv_glmnet
